              ,                                                 ,            ,         ,                            ,                                                                                                             ,                                                                                                                                            ,                                                                                                            , 
Component     , File Path                                       , Line Number, Severity, Issue Type                 , Issue Description                                                                                           , Code Snippet                                                                                                                               , Suggested Fix                                                                                              , Source
Miracast      , Miracast/common/MiracastCommon.cpp              , 91         , Critical, Memory Leak                , malloc() allocated buffer may leak if g_async_queue_push fails or throws exception                          , "void *buffer = malloc(msg_size); g_async_queue_push(m_g_queue, buffer);"                                                                  , Use std::unique_ptr or wrap in try-catch with proper cleanup                                               , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 92         , High    , Unchecked Return Value     , malloc() return value checked but error path doesn't maintain semaphore balance                             , if (nullptr == buffer) { MIRACASTLOG_ERROR(...); return; }                                                                                 , Post semaphore or set error flag before return                                                             , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 108        , High    , Race Condition             , "sem_getvalue and sem_wait not atomic, count may change between check and wait"                             , "sem_getvalue(&m_empty_msgq_sem_obj,&count); if ((0 < count)...) { sem_wait(...); }"                                                       , Use sem_trywait() or lock around sem_getvalue+sem_wait sequence                                            , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 135        , Medium  , Resource Leak              , getline() allocates memory that may leak on early loop break or exception                                   , "while (getline(&current_line_buffer, &len, popen_pipe_ptr) != -1)"                                                                        , Ensure free(current_line_buffer) called in all exit paths including breaks                                 , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 179        , Critical, Command Injection          , system() called with potentially user-controllable input without sanitization                               , return_value = system(system_command_buffer);                                                                                              , Validate/sanitize input or use execve() with argument array                                                , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 220        , High    , Format String Vulnerability, sprintf appends user data which may contain format specifiers                                               , "sprintf(buffer + strlen(buffer), ""%s"", current_line_buffer);"                                                                           , Validate current_line_buffer doesn't contain % characters or use safe string ops                           , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 232        , High    , Use After Free Risk        , pclose called but popen_pipe_ptr not set to nullptr immediately                                             , pclose(popen_pipe_ptr); popen_pipe_ptr = nullptr;                                                                                          , Set to nullptr atomically or ensure no concurrent access                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 258        , Critical, Infinite Loop Risk         , Retry loop may never exit if popen fails repeatedly with specific errno values                              , while ( retry_index <= retry_count ) { ... popen(...); }                                                                                   , Add maximum time limit or validate retry_count not MAX_UINT                                                , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 289        , Medium  , Race Condition             , m_isDestructing checked without holding mutex lock in wait predicate                                        , if (m_isDestructing) { MIRACASTLOG_INFO(...); }                                                                                            , Move check inside mutex-protected section                                                                  , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 305        , High    , Deadlock Risk              , Complex condition variable logic with multiple CVs may cause deadlock                                       , "m_condNotFull.wait_for(lk, ...) and m_condNotEmpty.wait_for(lk, ...)"                                                                     , Review lock ordering and ensure no circular waits between CVs                                              , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 337        , Low     , Debug Code in Production   , std::cout used for debugging instead of proper logging framework                                            , "std::cout << ""[sendData] data at address: "" << new_value << std::endl;"                                                                 , Replace with MIRACASTLOG_TRACE or remove entirely                                                          , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.cpp              , 374        , Medium  , Null Pointer Dereference   , userParam passed to callback without validation that it's non-null                                          , m_free_resource_cb(userParam);                                                                                                             , Check userParam != nullptr before calling callback                                                         , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 24         , Low     , Duplicate Include          , iostream included twice at lines 22 and 27                                                                  , #include <iostream>                                                                                                                        , Remove duplicate include statement                                                                         , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 221        , Medium  , Non-Virtual Destructor     , MiracastThread destructor not virtual but class may be inherited                                            , ~MiracastThread();                                                                                                                         , Make virtual: virtual ~MiracastThread();                                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastCommon.h                , 242        , Medium  , Uninitialized Member       , m_currentMsgCount not initialized in class definition                                                       , int m_currentMsgCount;                                                                                                                     , Initialize: int m_currentMsgCount{0};                                                                      , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 47         , Medium  , Thread Safety              , gDefaultLogLevel accessed without synchronization from multiple threads                                     , static int gDefaultLogLevel = INFO_LEVEL;                                                                                                  , Use std::atomic<int> or mutex protection                                                                   , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 86         , High    , Buffer Overflow Risk       , vsnprintf may truncate but truncation not checked                                                           , "vsnprintf(formatted, kFormatMessageSize, format, argptr);"                                                                                , Check return value >= kFormatMessageSize and log truncation warning                                        , Manual Analysis
Miracast      , Miracast/common/MiracastLogger.cpp              , 89         , Low     , Non-Portable Function      , basename() modifies input and behavior differs across platforms                                             , basename(file)                                                                                                                             , Use portable path parsing or ensure const safety                                                           , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 126        , Critical, Singleton Thread Safety    , "getInstance() lacks thread-safe initialization, may create multiple instances"                             , if (nullptr == m_rtsp_msg_obj) { m_rtsp_msg_obj = new MiracastRTSPMsg(); }                                                                 , Use std::call_once with std::once_flag or double-checked locking with mutex                                , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 134        , High    , Memory Leak on Error       , m_rtsp_msg_obj allocated but may not be freed if error occurs after allocation                              , delete m_rtsp_msg_obj; m_rtsp_msg_obj = nullptr;                                                                                           , Use smart pointer or ensure cleanup in all error paths                                                     , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 303        , Critical, Integer Overflow           , "stoi() may throw or overflow, no exception handling present"                                               , "int next_number = std::stoi(m_current_sequence_number.empty() ? ""1"" : m_current_sequence_number.c_str()) + 1;"                          , Wrap in try-catch for invalid_argument and out_of_range exceptions                                         , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 415        , High    , Race Condition             , m_tcpSockfd accessed from multiple threads without synchronization                                          , "if (-1 != m_tcpSockfd) { shutdown(m_tcpSockfd, SHUT_RDWR); close(m_tcpSockfd); }"                                                         , Protect socket operations with mutex or use atomic operations                                              , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 477        , Critical, Blocking Operation         , select() may block indefinitely if peer closes connection ungracefully                                      , "result = select(m_Sockfd + 1, &readFDSet, nullptr, nullptr, &timeout);"                                                                   , Add SO_RCVTIMEO/SO_SNDTIMEO socket options as backup timeout                                               , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 544        , High    , TOCTOU Vulnerability       , Socket validated in wait_data_timeout but may close before recv                                             , "if (!wait_data_timeout(socket_fd, wait_time_ms)) return RTSP_TIMEDOUT; recv_return = recv(socket_fd, buffer, buffer_len, 0);"             , Hold socket lock across check and use or validate socket again before recv                                 , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 607        , Critical, Incomplete Error Handling  , inet_pton return value checked for success but -1 (error) not distinguished from 0 (invalid)                , "r = inet_pton(AF_INET, goIP.c_str(), &addr.sin_addr); if (r != 1) { return MIRACAST_FAIL; }"                                              , Check r == -1 separately and log errno; handle 0 as invalid format                                         , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 618        , Medium  , Resource Leak              , epoll_create creates fd but may leak if subsequent operations throw                                         , m_epollfd = epoll_create(1);                                                                                                               , Use RAII wrapper or ensure cleanup in destructor and exception handlers                                    , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 634        , High    , Ignored Error              , setsockopt failure logged but execution continues with potentially unsafe socket                            , if (setsockopt(...) == -1) { MIRACASTLOG_ERROR(...); continue; }                                                                           , Consider failing if critical socket options cannot be set                                                  , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 667        , High    , Use After Free             , Socket closed but descriptor may still be referenced by other threads                                       , close(m_tcpSockfd); m_tcpSockfd = -1;                                                                                                      , Set -1 atomically before close or use memory fence                                                         , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 700        , Medium  , Uninitialized Variable     , getsockopt called with uninitialized len that should be set to sizeof(error)                                , "socklen_t len = sizeof(error); getsockopt(m_tcpSockfd, SOL_SOCKET, SO_ERROR, &error, &len)"                                               , Already correct but verify len is set before getsockopt in all paths                                       , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 789        , Critical, Unvalidated Input          , rtsp_msg_buffer used without size validation before parsing                                                 , std::stringstream ss(rtsp_msg_buffer);                                                                                                     , Validate buffer size < MAX_SIZE and check for null termination                                             , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 952        , High    , Performance Issue          , std::regex compiled inside loop causing severe performance degradation                                      , "std::regex sessionRegex(""Session: ([0-9a-fA-F]+)..."");"                                                                                 , Move regex compilation outside loop as static const                                                        , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1052       , Critical, Buffer Overflow            , sprintf used without bounds checking on video_format_buffer                                                 , "sprintf(video_format_buffer, ""%02x %02x..."", ...);"                                                                                     , "Replace with snprintf(video_format_buffer, sizeof(video_format_buffer), ...)"                             , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1103       , Critical, Race Condition             , m_wfd_session_number modified without synchronization between threads                                       , set_WFDSessionNumber(session_number);                                                                                                      , Protect with mutex if accessed from multiple threads                                                       , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1155       , Critical, Buffer Overflow            , sprintf without bounds checking on audio_format_buffer                                                      , "sprintf(audio_format_buffer, ""%s %08x %02x"", ...);"                                                                                     , "Use snprintf(audio_format_buffer, sizeof(audio_format_buffer), ...)"                                      , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1372       , Medium  , Unhandled Exception        , std::stoul() may throw but no exception handling                                                            , size_t expectedLength = std::stoul(lengthStr);                                                                                             , Wrap in try-catch for invalid_argument and out_of_range                                                    , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1577       , High    , Null Pointer Dereference   , MiracastGstPlayer::getInstance() result not validated before use                                            , MiracastGstPlayer *MiracastGstPlayerObj = MiracastGstPlayer::getInstance(); MiracastGstPlayerObj->resume();                                , Check if getInstance() returns nullptr before dereferencing                                                , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1658       , Critical, Command Injection          , gstreamerPipeline read from file and passed to system() without validation                                  , if (0 == MiracastCommon::execute_SystemCommand(gstreamerPipeline.c_str()))                                                                 , "Validate and sanitize pipeline string, restrict to whitelist of commands"                                 , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1685       , High    , Logic Error                , m_streaming_started set true before player confirms successful start                                        , m_streaming_started = true;                                                                                                                , Move after successful player launch confirmation                                                           , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1767       , Critical, Buffer Overflow            , rtsp_message_socket 4KB buffer may overflow if message exceeds size                                         , "char rtsp_message_socket[4096] = {0}; receive_buffer_timedOut(..., rtsp_message_socket, sizeof(rtsp_message_socket), ...)"                , Handle partial messages across multiple recv calls with dynamic buffer                                     , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.cpp, 1925       , Medium  , Resource Not Released      , MiracastGstPlayer instance may not be destroyed in all error exit paths                                     , MiracastGstPlayer::destroyInstance();                                                                                                      , Ensure destroyInstance() called in all exit paths including exceptions                                     , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.h  , 358        , Low     , Portability Issue          , pragma pack(1) may cause unaligned access on some architectures                                             , #pragma pack(1) typedef struct rtsp_H264_codecs_st                                                                                         , Validate alignment requirements for target platforms                                                       , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.h  , 450        , Medium  , Missing Virtual Destructor , MiracastPlayerNotifier is abstract interface without virtual destructor                                     , class MiracastPlayerNotifier { public: virtual void onStateChange(...) = 0; };                                                             , Add: virtual ~MiracastPlayerNotifier() = default;                                                          , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.h  , 502        , High    , Uninitialized Members      , Multiple class members not initialized with default values                                                  , int m_tcpSockfd; int m_epollfd; bool m_streaming_started;                                                                                  , Initialize: int m_tcpSockfd{-1}; int m_epollfd{-1}; bool m_streaming_started{false};                       , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/RTSP/MiracastRTSPMsg.h  , 582        , Medium  , Unsafe String Format       , format_string find/replace may fail with overlapping %s patterns                                            , "result.replace(found, 2, args[arg_index]);"                                                                                               , Use fmt library or std::format (C++20) for safer formatting                                                , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.cpp      , 49         , High    , Race Condition             , _instance static member set without synchronization                                                         , MiracastPlayer::_instance = this;                                                                                                          , Use std::atomic<MiracastPlayer*> or mutex protection                                                       , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.cpp      , 76         , Medium  , Resource Leak              , mCurrentService->AddRef() not matched with Release() in error paths                                         , mCurrentService->AddRef(); ... if (result != Core::ERROR_NONE) { retStatus = ...; }                                                        , Call Release() before returning error                                                                      , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.cpp      , 120        , High    , Incomplete Cleanup         , Deinitialize may not handle partial initialization correctly                                                , if (0 != retStatus.length()) { Deinitialize(service); }                                                                                    , Ensure Deinitialize handles all partial states gracefully                                                  , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.cpp      , 151        , Medium  , Unsafe Termination         , connection->Terminate() called without timeout or forced kill                                               , connection->Terminate(); connection->Release();                                                                                            , Add timeout and SIGKILL fallback if Terminate doesn't respond                                              , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.h        , 54         , Low     , Incomplete Rule of Five    , Copy operations deleted but move operations not explicitly handled                                          , MiracastPlayer(const MiracastPlayer&) = delete;                                                                                            , Explicitly delete or define move constructor and move assignment                                           , Manual Analysis
MiracastPlayer, Miracast/MiracastPlayer/MiracastPlayer.h        , 101        , Low     , Pointer Initialization     , Pointer initialized with {} instead of explicit nullptr                                                     , PluginHost::IShell* mCurrentService{};                                                                                                     , Use explicit nullptr for clarity                                                                           , Manual Analysis
XCast         , XCast/XCastManager.cpp                          , 38         , Critical, Race Condition             , Global static pointer gdialCastObj accessed without synchronization across threads                          , "static IARM_Bus_PWRMgr_PowerState_t gPowerState = IARM_BUS_PWRMGR_POWERSTATE_STANDBY;
                                                                                                                                                                                                                                    static XCastManager *gdialCastObj = NULL;"                                                                                                 , Protect with mutex or use atomic operations                                                                , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 48         , Critical, Race Condition             , Static instance pointer _instance without thread-safe initialization guard                                  , "SERVICE_REGISTRATION(XCastImplementation, 1, 0);
                                                                                                                                                                                                                                    XCastImplementation *XCastImplementation::_instance = nullptr;"                                                                            , Use std::call_once or atomic operations for thread-safe singleton                                          , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 49         , Critical, Null Pointer Dereference   , Static m_xcast_manager pointer used without null checks in multiple locations                               , XCastManager* XCastImplementation::m_xcast_manager = nullptr;                                                                              , Add null checks before all dereferences of m_xcast_manager                                                 , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 51         , High    , Memory Leak                , Static vector m_appConfigCache with malloc-allocated DynamicAppConfig objects never freed on shutdown       , static std::vector <DynamicAppConfig*> m_appConfigCache;                                                                                   , Add cleanup function to free all DynamicAppConfig objects on shutdown                                      , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 67         , High    , Race Condition             , Global bool powerModeChangeActive accessed without synchronization from multiple threads                    , bool powerModeChangeActive = false;                                                                                                        , Use atomic<bool> or protect with mutex                                                                     , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 293        , High    , Resource Leak              , JSONRPC::LinkType allocated with new but no matching delete in destructor or Deinitialize                   , "m_SystemPluginObj = new WPEFramework::JSONRPC::LinkType<Core::JSON::IElement>(_T(SYSTEM_CALLSIGN_VER), (_T(SYSTEM_CALLSIGN_VER)), false);", Delete m_SystemPluginObj in destructor or Deinitialize                                                     , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 398        , High    , Thread Safety              , Detached thread threadPowerModeChangeEvent accesses member variables without locking                        , "std::thread powerModeChangeThread = std::thread(&XCastImplementation::threadPowerModeChangeEvent,&_parent);
                                                                                                                                                                                                                                    powerModeChangeThread.detach();"                                                                                                           , Ensure proper locking for all member variable access in detached thread                                    , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 327        , High    , Thread Safety              , Detached thread threadSystemFriendlyNameChangeEvent accesses member variables without proper synchronization, "std::thread friendlyNameChangeThread = std::thread(&XCastImplementation::threadSystemFriendlyNameChangeEvent,this);
                                                                                                                                                                                                                                    friendlyNameChangeThread.detach();"                                                                                                        , Add proper locking or use thread-safe data structures                                                      , Manual Static Analysis
XCast         , XCast/XCastManager.cpp                          , 588        , High    , Memory Leak                , Singleton pattern creates instance with new but never deleted                                               , "if ( NULL == _instance)
                                                                                                                                                                                                                                    _instance = new XCastManager();"                                                                                                           , Implement proper singleton destruction or document lifetime                                                , Manual Static Analysis
XCast         , XCast/XCastManager.cpp                          , 221        , High    , Command Injection          , system() call with user-controlled command constructed from file content without sanitization               , "sprintf(cmd, ""kill -9 %s"", pid_buffer);
                                                                                                                                                                                                                                    system(cmd);"                                                                                                                              , Use execl or kill() syscall directly with validated PID integer                                            , Manual Static Analysis
XCast         , XCast/XCastManager.cpp                          , 205        , Medium  , File Handle Leak           , fopen() in getGDialServicePID without guaranteed fclose on all error paths                                  , "FILE *fp = fopen(GPID_FILE, ""r"");
                                                                                                                                                                                                                                    if(fp)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    fgets(pid_buffer, sizeof(pid_buffer), fp);"                                                                                                , Use RAII file handle wrapper or ensure fclose in all paths                                                 , Manual Static Analysis
XCast         , XCast/XCastManager.cpp                          , 270        , Medium  , Buffer Overflow            , strncpy without null termination guarantee in getInterfaceConfig                                            , "strncpy(interface_config.interface_name, interface_name.c_str(), sizeof(interface_config.interface_name));"                               , Ensure null termination: interface_config.interface_name[sizeof(interface_config.interface_name)-1] = '\0';, Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 952        , Medium  , Memory Leak                , DynamicAppConfig allocated with malloc but missing free on error path                                       , "DynamicAppConfig* pDynamicAppConfig = (DynamicAppConfig*) malloc (sizeof(DynamicAppConfig));
                                                                                                                                                                                                                                    if(pDynamicAppConfig)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    memset ((void*)pDynamicAppConfig, '\0', sizeof(DynamicAppConfig));"                                                                        , Add error handling to free allocated memory before return                                                  , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 958        , Medium  , Buffer Overflow            , Multiple strncpy calls without guaranteed null termination                                                  , "strncpy (pDynamicAppConfig->appName, appInfo.appName.c_str(), sizeof(pDynamicAppConfig->appName) - 1);
                                                                                                                                                                                                                                    pDynamicAppConfig->appName[sizeof(pDynamicAppConfig->appName) - 1] = '\0';"                                                                , Pattern is correct but verify all string copies follow same pattern                                        , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 175        , Medium  , Null Pointer Dereference   , Deinitialize calls m_xcast_manager->shutdown() without checking if already null                             , "if(nullptr != m_xcast_manager)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    stopTimer();
                                                                                                                                                                                                                                    m_xcast_manager->shutdown();
                                                                                                                                                                                                                                    m_xcast_manager = nullptr;"                                                                                                                , Code is correct but ensure thread-safe access pattern                                                      , Manual Static Analysis
XCast         , XCast/XCastManager.cpp                          , 163        , Low     , Unchecked Return Value     , getRFCParameter return value not checked before using retrieved value                                       , "getRFCParameter((char *)""XDial.Enable"", NULL, buf);"                                                                                    , Check return value and handle error cases                                                                  , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 662        , Low     , Unchecked Return Value     , sleep() return value not checked in threadPowerModeChangeEvent                                              , "Deinitialize();
                                                                                                                                                                                                                                    sleep(1);
                                                                                                                                                                                                                                    Initialize(m_networkStandbyMode);"                                                                                                         , Check sleep return value or document intended behavior                                                     , Manual Static Analysis
XCast         , XCast/XCastCommon.h                             , 33         , Low     , Memory Safety              , Constructor uses memset on struct containing non-POD member (allowStop with default value)                  , "_DynamicAppConfig(){
                                                                                                                                                                                                                                    memset (appName, '\0', sizeof(appName));
                                                                                                                                                                                                                                    memset (prefixes, '\0', sizeof(prefixes));"                                                                                                , Use member initializer list instead of memset for better type safety                                       , Manual Static Analysis
XCast         , XCast/XCastImplementation.cpp                   , 746        , Low     , Unchecked Return Value     , _networkManagerPlugin->GetPrimaryInterface return code checked but not all error codes handled              , "rc = _networkManagerPlugin->GetPrimaryInterface(interface);
                                                                                                                                                                                                                                    if (Core::ERROR_NONE != rc)
                                                                                                                                                                                                                                    {
                                                                                                                                                                                                                                    LOGERR(""Failed to get Primary Interface from NM: %u"",rc);"                                                                               , Add specific handling for different error codes                                                            , Manual Static Analysis
XCast         , XCast/XCastImplementation.h                     , 62         , Low     , Memory Safety              , Global variable m_powerState defined in header file causes ODR violation                                    , WPEFramework::Exchange::IPowerManager::PowerState m_powerState = WPEFramework::Exchange::IPowerManager::POWER_STATE_STANDBY;               , Move to implementation file or declare extern                                                              , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 71         , Critical, Race Condition             , Static singleton s_instance accessed without synchronization                                                , CFrontPanel* CFrontPanel::s_instance = NULL;                                                                                               , Use mutex protection or atomic operations for thread-safe singleton access                                 , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 73         , High    , Race Condition             , Global static variables accessed without synchronization across threads                                     , "static int globalLedBrightness = 100;
                                                                                                                                                                                                                                    static bool isMessageLedOn = false;
                                                                                                                                                                                                                                    static bool isRecordLedOn = false;"                                                                                                        , Protect with mutex or use atomic types for thread-safe access                                              , Manual Static Analysis
Helpers       , helpers/frontpanel.cpp                          , 152        , High    , Memory Leak                , Singleton instance created with new but never deleted                                                       , "if (!s_instance)
                                                                                                                                                                                                                                    s_instance = new CFrontPanel;"                                                                                                             , Implement proper singleton cleanup or document lifetime                                                    , Manual Static Analysis
